month,field,papers_listed,papers_examined,papers_disclosing,papers_denying,is_partial
2018-01,all,2459,2422,0,0,False
2018-01,math.AC,39,39,0,0,False
2018-01,math.AG,141,140,0,0,False
2018-01,math.AP,285,282,0,0,False
2018-01,math.AT,54,53,0,0,False
2018-01,math.CA,99,96,0,0,False
2018-01,math.CO,212,209,0,0,False
2018-01,math.CT,17,17,0,0,False
2018-01,math.CV,41,41,0,0,False
2018-01,math.DG,128,127,0,0,False
2018-01,math.DS,103,103,0,0,False
2018-01,math.FA,115,113,0,0,False
2018-01,math.GM,11,10,0,0,False
2018-01,math.GN,17,16,0,0,False
2018-01,math.GR,72,71,0,0,False
2018-01,math.GT,64,62,0,0,False
2018-01,math.HO,12,12,0,0,False
2018-01,math.KT,9,9,0,0,False
2018-01,math.LO,46,46,0,0,False
2018-01,math.MG,25,25,0,0,False
2018-01,math.NA,172,163,0,0,False
2018-01,math.NT,150,149,0,0,False
2018-01,math.OA,27,27,0,0,False
2018-01,math.OC,163,157,0,0,False
2018-01,math.PR,197,197,0,0,False
2018-01,math.QA,23,23,0,0,False
2018-01,math.RA,45,44,0,0,False
2018-01,math.RT,77,77,0,0,False
2018-01,math.SG,15,14,0,0,False
2018-01,math.SP,29,29,0,0,False
2018-01,math.ST,71,71,0,0,False
2018-02,all,2493,2449,0,0,False
2018-02,math.AC,49,48,0,0,False
2018-02,math.AG,155,154,0,0,False
2018-02,math.AP,252,250,0,0,False
2018-02,math.AT,42,42,0,0,False
2018-02,math.CA,75,73,0,0,False
2018-02,math.CO,214,212,0,0,False
2018-02,math.CT,22,22,0,0,False
2018-02,math.CV,54,54,0,0,False
2018-02,math.DG,138,136,0,0,False
2018-02,math.DS,109,107,0,0,False
2018-02,math.FA,98,97,0,0,False
2018-02,math.GM,18,11,0,0,False
2018-02,math.GN,13,13,0,0,False
2018-02,math.GR,69,69,0,0,False
2018-02,math.GT,50,49,0,0,False
2018-02,math.HO,24,21,0,0,False
2018-02,math.KT,6,6,0,0,False
2018-02,math.LO,46,45,0,0,False
2018-02,math.MG,35,35,0,0,False
2018-02,math.NA,168,163,0,0,False
2018-02,math.NT,144,143,0,0,False
2018-02,math.OA,24,24,0,0,False
2018-02,math.OC,222,212,0,0,False
2018-02,math.PR,202,200,0,0,False
2018-02,math.QA,28,27,0,0,False
2018-02,math.RA,39,39,0,0,False
2018-02,math.RT,88,88,0,0,False
2018-02,math.SG,20,20,0,0,False
2018-02,math.SP,20,20,0,0,False
2018-02,math.ST,69,69,0,0,False
2018-03,all,2802,2758,0,0,False
2018-03,math.AC,49,49,0,0,False
2018-03,math.AG,169,167,0,0,False
2018-03,math.AP,298,293,0,0,False
2018-03,math.AT,29,29,0,0,False
2018-03,math.CA,87,84,0,0,False
2018-03,math.CO,246,243,0,0,False
2018-03,math.CT,24,24,0,0,False
2018-03,math.CV,38,38,0,0,False
2018-03,math.DG,134,133,0,0,False
2018-03,math.DS,139,138,0,0,False
2018-03,math.FA,124,122,0,0,False
2018-03,math.GM,14,12,0,0,False
2018-03,math.GN,23,23,0,0,False
2018-03,math.GR,80,80,0,0,False
2018-03,math.GT,72,71,0,0,False
2018-03,math.HO,15,15,0,0,False
2018-03,math.KT,18,17,0,0,False
2018-03,math.LO,59,59,0,0,False
2018-03,math.MG,36,34,0,0,False
2018-03,math.NA,203,201,0,0,False
2018-03,math.NT,173,172,0,0,False
2018-03,math.OA,41,41,0,0,False
2018-03,math.OC,270,257,0,0,False
2018-03,math.PR,202,200,0,0,False
2018-03,math.QA,29,29,0,0,False
2018-03,math.RA,54,52,0,0,False
2018-03,math.RT,68,68,0,0,False
2018-03,math.SG,19,19,0,0,False
2018-03,math.SP,26,26,0,0,False
2018-03,math.ST,63,62,0,0,False
2018-04,all,2604,2563,0,0,False
2018-04,math.AC,36,36,0,0,False
2018-04,math.AG,162,161,0,0,False
2018-04,math.AP,273,268,0,0,False
2018-04,math.AT,31,30,0,0,False
2018-04,math.CA,91,90,0,0,False
2018-04,math.CO,253,252,0,0,False
2018-04,math.CT,12,12,0,0,False
2018-04,math.CV,52,51,0,0,False
2018-04,math.DG,123,122,0,0,False
2018-04,math.DS,92,91,0,0,False
2018-04,math.FA,120,119,0,0,False
2018-04,math.GM,13,9,0,0,False
2018-04,math.GN,20,20,0,0,False
2018-04,math.GR,70,69,0,0,False
2018-04,math.GT,74,74,0,0,False
2018-04,math.HO,18,15,0,0,False
2018-04,math.KT,12,12,0,0,False
2018-04,math.LO,68,68,0,0,False
2018-04,math.MG,40,39,0,0,False
2018-04,math.NA,206,202,0,0,False
2018-04,math.NT,143,141,0,0,False
2018-04,math.OA,38,37,0,0,False
2018-04,math.OC,195,186,0,0,False
2018-04,math.PR,199,198,0,0,False
2018-04,math.QA,36,36,0,0,False
2018-04,math.RA,42,42,0,0,False
2018-04,math.RT,74,74,0,0,False
2018-04,math.SG,17,16,0,0,False
2018-04,math.SP,24,24,0,0,False
2018-04,math.ST,70,69,0,0,False
2018-05,all,2763,2712,0,0,False
2018-05,math.AC,42,42,0,0,False
2018-05,math.AG,166,164,0,0,False
2018-05,math.AP,301,298,0,0,False
2018-05,math.AT,46,45,0,0,False
2018-05,math.CA,80,77,0,0,False
2018-05,math.CO,266,266,0,0,False
2018-05,math.CT,30,30,0,0,False
2018-05,math.CV,50,50,0,0,False
2018-05,math.DG,144,141,0,0,False
2018-05,math.DS,120,118,0,0,False
2018-05,math.FA,112,111,0,0,False
2018-05,math.GM,13,9,0,0,False
2018-05,math.GN,25,25,0,0,False
2018-05,math.GR,72,71,0,0,False
2018-05,math.GT,73,72,0,0,False
2018-05,math.HO,22,16,0,0,False
2018-05,math.KT,9,9,0,0,False
2018-05,math.LO,54,51,0,0,False
2018-05,math.MG,23,23,0,0,False
2018-05,math.NA,228,225,0,0,False
2018-05,math.NT,178,175,0,0,False
2018-05,math.OA,34,34,0,0,False
2018-05,math.OC,209,202,0,0,False
2018-05,math.PR,200,198,0,0,False
2018-05,math.QA,27,27,0,0,False
2018-05,math.RA,62,61,0,0,False
2018-05,math.RT,68,66,0,0,False
2018-05,math.SG,22,22,0,0,False
2018-05,math.SP,21,20,0,0,False
2018-05,math.ST,66,64,0,0,False
2018-06,all,2609,2568,0,0,False
2018-06,math.AC,47,47,0,0,False
2018-06,math.AG,144,142,0,0,False
2018-06,math.AP,290,288,0,0,False
2018-06,math.AT,26,24,0,0,False
2018-06,math.CA,69,66,0,0,False
2018-06,math.CO,249,246,0,0,False
2018-06,math.CT,20,20,0,0,False
2018-06,math.CV,46,45,0,0,False
2018-06,math.DG,116,114,0,0,False
2018-06,math.DS,104,102,0,0,False
2018-06,math.FA,113,113,0,0,False
2018-06,math.GM,14,10,0,0,False
